info face="Wide awake" size=-50 bold=0 italic=0 charset="" unicode=1 stretchH=100 smooth=1 aa=4 padding=0,0,0,0 spacing=1,1 outline=0
common lineHeight=81 base=63 scaleW=512 scaleH=512 pages=1 packed=0 alphaChnl=1 redChnl=0 greenChnl=0 blueChnl=0
page id=0 file="wide_awake_hd_0.png"
chars count=160
char id=32   x=499   y=50    width=1     height=1     xoffset=0     yoffset=80    xadvance=25    page=0  chnl=15
char id=33   x=54    y=248   width=22    height=45    xoffset=-1    yoffset=18    xadvance=10    page=0  chnl=15
char id=34   x=321   y=366   width=28    height=19    xoffset=3     yoffset=18    xadvance=21    page=0  chnl=15
char id=35   x=224   y=336   width=31    height=31    xoffset=4     yoffset=27    xadvance=33    page=0  chnl=15
char id=36   x=23    y=108   width=30    height=47    xoffset=0     yoffset=17    xadvance=21    page=0  chnl=15
char id=37   x=192   y=336   width=31    height=31    xoffset=4     yoffset=27    xadvance=33    page=0  chnl=15
char id=38   x=288   y=302   width=31    height=31    xoffset=4     yoffset=27    xadvance=33    page=0  chnl=15
char id=39   x=350   y=366   width=17    height=19    xoffset=3     yoffset=18    xadvance=10    page=0  chnl=15
char id=40   x=427   y=50    width=25    height=49    xoffset=-1    yoffset=14    xadvance=13    page=0  chnl=15
char id=41   x=375   y=50    width=25    height=49    xoffset=-1    yoffset=14    xadvance=13    page=0  chnl=15
char id=42   x=192   y=272   width=31    height=31    xoffset=1     yoffset=25    xadvance=25    page=0  chnl=15
char id=43   x=243   y=368   width=28    height=27    xoffset=1     yoffset=27    xadvance=22    page=0  chnl=15
char id=44   x=495   y=146   width=16    height=21    xoffset=-1    yoffset=48    xadvance=10    page=0  chnl=15
char id=45   x=368   y=366   width=27    height=15    xoffset=1     yoffset=33    xadvance=21    page=0  chnl=15
char id=46   x=396   y=366   width=16    height=15    xoffset=-1    yoffset=48    xadvance=10    page=0  chnl=15
char id=47   x=318   y=100   width=33    height=45    xoffset=-1    yoffset=18    xadvance=22    page=0  chnl=15
char id=48   x=418   y=100   width=32    height=45    xoffset=-1    yoffset=18    xadvance=21    page=0  chnl=15
char id=49   x=484   y=100   width=22    height=45    xoffset=-1    yoffset=18    xadvance=10    page=0  chnl=15
char id=50   x=0     y=158   width=32    height=45    xoffset=-1    yoffset=18    xadvance=21    page=0  chnl=15
char id=51   x=66    y=154   width=32    height=45    xoffset=-1    yoffset=18    xadvance=21    page=0  chnl=15
char id=52   x=428   y=192   width=31    height=45    xoffset=0     yoffset=18    xadvance=21    page=0  chnl=15
char id=53   x=132   y=154   width=32    height=45    xoffset=-1    yoffset=18    xadvance=21    page=0  chnl=15
char id=54   x=198   y=148   width=32    height=45    xoffset=-1    yoffset=18    xadvance=21    page=0  chnl=15
